CNPJ_RAIZ,RAZAO_SOCIAL_SEFAZ,RAZAO_SOCIAL_RFB,RAZAO_SOCIAL_REDESIM,FONTE_RECOMENDADA,RAZAO_SOCIAL_RECOMENDADA,GC,SIMILARIDADE_CAD_RFB,SIM_CAD_REDESIM,SIM_RFB_REDESIM
12135232,CAETANO ELIAS CORREA MARTINS,CAETANO ELIAS CORREA MARTINS,,SEFAZ,CAETANO ELIAS CORREA MARTINS,90,100,,
12507935,MARIA CLEUDES S MAGALHAES ME,MARIA CLEUDES S MAGALHAES,,SEFAZ,MARIA CLEUDES S MAGALHAES ME,90,90,,
12117651,ANTONIO F DA SILVA MERCEARIA ME,ANTONIO F DA SILVA-MERCEARIA,,SEFAZ,ANTONIO F DA SILVA MERCEARIA ME,50,88,,
10267664,G J DE E SILVA ME,G J DE A E SILVA,,SEFAZ,G J DE E SILVA ME,50,71,,
11105004,M J S ALVES BALAS E BRINQUEDOS ME,M.J.S.ALVES-BALAS E BRINQUEDOS,,SEFAZ,M J S ALVES BALAS E BRINQUEDOS ME,50,79,,
07488539,EDVALDO M ARAUJO ME,,,SEFAZ,EDVALDO M ARAUJO ME,60,,,
10371110,LEONETE AGOSTINHA B FERREIRA ME,LEONETE AGOSTINHA B FERREIRA,,SEFAZ,LEONETE AGOSTINHA B FERREIRA ME,90,91,,
12129235,G G FIGUEREDO ME,G G FIGUEREDO,,SEFAZ,G G FIGUEREDO ME,50,82,,
06291645,J C MELO ME,J C MELO,,SEFAZ,J C MELO ME,50,73,,
10288413,J D DINIZ MERCEARIA,J.D.DINIZ MERCEARIA,,SEFAZ,J D DINIZ MERCEARIA,90,90,,
11289402,GABRIEL SARAIVA NETO ME,GABRIEL SARAIVA NETO,,SEFAZ,GABRIEL SARAIVA NETO ME,50,87,,
35310093,CENTRAL DISTRIBUIDORA DE PRODUTOS LTDA,,,SEFAZ,CENTRAL DISTRIBUIDORA DE PRODUTOS LTDA,60,,,
07563521,CARLOS LEITE & CIA LTDA,,,SEFAZ,CARLOS LEITE & CIA LTDA,60,,,
04228987,PONTE IRMAO & CIA LTDA,,,SEFAZ,PONTE IRMAO & CIA LTDA,60,,,
00317372,GALDERMA BRASIL LTDA,,,SEFAZ,GALDERMA BRASIL LTDA,60,,,
02650188,ACESSÓRIOS CARRETEIRO LTDA-ME,ACESSORIOS CARRETEIRO LTDA,,SEFAZ,ACESSÓRIOS CARRETEIRO LTDA-ME,50,84,,
02170877,REVENDEDORA DE GAS BUTANO SAO JOSE LTDA,REVENDEDORA DE GAS BUTANO SAO JOSE LTDA,,SEFAZ,REVENDEDORA DE GAS BUTANO SAO JOSE LTDA,90,100,,
02501145,F FERREIRA DE ARAUJO,F FERREIRA DE ARAUJO,,SEFAZ,F FERREIRA DE ARAUJO,90,100,,
03011112,A L FONTOURA COMERCIO E REPRESENTACOES,A L FONTOURA REPRESENTACAO,,SEFAZ,A L FONTOURA COMERCIO E REPRESENTACOES,50,64,,
02862382,ADALBERTO PINTO DA SILVA COMÉRCIO,ADALBERTO PINTO SILVA COMERCIO,,SEFAZ,ADALBERTO PINTO DA SILVA COMÉRCIO,50,86,,
02075548,MARIA APARECIDA TEIXEIRA,MARIA APARECIDA TEIXEIRA,,SEFAZ,MARIA APARECIDA TEIXEIRA,90,100,,
02080951,MARIA DA CONCEICAO DOS SANTOS ARAUJO,MARIA DA CONCEICAO DOS SANTOS ARAUJO,,SEFAZ,MARIA DA CONCEICAO DOS SANTOS ARAUJO,90,100,,
02081652,ROSANGELA MARQUES PEREIRA,ROSANGELA MARQUES PEREIRA,,SEFAZ,ROSANGELA MARQUES PEREIRA,90,100,,
02901066,COSTA & BARROS LTDA,COSTA & BARROS LTDA,,SEFAZ,COSTA & BARROS LTDA,90,100,,
08092382,V. R. PNEUS LTDA-ME,V. R. PNEUS LTDA,,SEFAZ,V. R. PNEUS LTDA-ME,50,85,,
03226018,JEOVA SILVA DA HORA,JEOVA SILVA DA HORA,,SEFAZ,JEOVA SILVA DA HORA,90,100,,
02395506,COMERCIAL DE ALIMENTOS ALLANA LTDA - ME,COMERCIAL DE ALIMENTOS ALLANA LTDA,,SEFAZ,COMERCIAL DE ALIMENTOS ALLANA LTDA - ME,50,88,,
02802342,ITAMAR P CARVALHO,ITAMAR P. CARVALHO,,SEFAZ,ITAMAR P CARVALHO,90,95,,
02414463,B FERREIRA DOS SANTOS,B. FERREIRA DOS SANTOS,,SEFAZ,B FERREIRA DOS SANTOS,90,96,,
07756877,L A MARQUES FILHO,L A MARQUES FILHO,,SEFAZ,L A MARQUES FILHO,90,100,,
02463132,LUSIMAR SILVA DE ASSIS-ME,LUSIMAR SILVA DE ASSIS,,SEFAZ,LUSIMAR SILVA DE ASSIS-ME,50,88,,
02663603,M DO S ARAUJO ALMEIDA   EPP,M DO S ARAUJO ALMEIDA,,SEFAZ,M DO S ARAUJO ALMEIDA   EPP,50,78,,
02428103,EUZENIR CARNEIRO COSTA,EUZENIR CARNEIRO COSTA,,SEFAZ,EUZENIR CARNEIRO COSTA,90,100,,
12097465,SOLIMAR JATAI DE SOUSA ME,SOLIMAR JATAI DE SOUSA,,SEFAZ,SOLIMAR JATAI DE SOUSA ME,50,88,,
12114302,I P SALES ME,I P SALES,,SEFAZ,I P SALES ME,50,75,,
01962867,L P S DA SILVA FUNERARIA,L. P. S. DA SILVA FUNERARIA,,SEFAZ,L P S DA SILVA FUNERARIA,50,89,,
03101008,O. V. GRANGEIRO-ME,O. V. GRANGEIRO,,SEFAZ,O. V. GRANGEIRO-ME,50,84,,
